Gene,Importance
219094_at,0.07899257422798692
221723_s_at,0.0729445410473001
202301_s_at,0.07053722141918208
203683_s_at,0.05886069609715082
207156_at,0.05651793279039526
219217_at,0.0545355949197909
220265_at,0.050583217249884495
209301_at,0.048812907650013705
215666_at,0.04864637761301752
215598_at,0.04825744004055959
212265_at,0.046922969570733525
218762_at,0.046346056070484636
216637_at,0.04383129036628265
201798_s_at,0.04265721664459996
219290_x_at,0.04083070724614459
213194_at,0.04016122948864287
218668_s_at,0.03845007941445924
200794_x_at,0.037671089639104635
210187_at,0.03738122380197165
208930_s_at,0.03705963470229499
